Date,From Account,From Sender,To Account,To Recipient,Amount in Euro
2023-09-21,A001,Charlie Davis,A001,Tech Solutions,3397.62
2023-02-26,A002,Bob Brown,A003,Global Traders,8729.65
2023-12-21,A004,John Doe,A005,XYZ Corp,8357.14
2023-03-27,A004,Bob Brown,A005,Global Traders,7689.21
2023-09-23,A001,Charlie Davis,A003,XYZ Corp,9966.42
2023-10-15,A003,John Doe,A004,XYZ Corp,6438.4
2023-03-03,A003,John Doe,A003,123 Services,7612.08
2023-11-09,A005,Bob Brown,A003,123 Services,9891.02
2023-04-20,A004,Bob Brown,A003,ABC Inc,652.52
2023-12-24,A002,Bob Brown,A001,Global Traders,5483.82
2023-08-25,A002,Bob Brown,A004,Global Traders,3612.51
2023-09-17,A001,Alice Johnson,A001,Tech Solutions,3918.79
2023-08-26,A004,John Doe,A005,XYZ Corp,378.24
2023-09-14,A002,Bob Brown,A001,Global Traders,6053.93
2023-08-10,A002,Charlie Davis,A002,123 Services,4439.92
2023-07-18,A004,Jane Smith,A003,ABC Inc,6813.48
2023-07-23,A004,Bob Brown,A002,Global Traders,7964.07
2023-09-24,A002,Bob Brown,A001,Tech Solutions,5070.64
2023-09-07,A004,Bob Brown,A004,123 Services,5064.28
2023-04-25,A005,Jane Smith,A003,ABC Inc,3634.15
2023-08-24,A005,Jane Smith,A003,123 Services,4164.98
2023-05-06,A003,Charlie Davis,A002,123 Services,2064.97
2023-03-14,A005,Jane Smith,A002,Global Traders,3066.51
2023-06-12,A005,Jane Smith,A005,123 Services,493.11
2023-03-09,A005,Bob Brown,A005,XYZ Corp,4336.21
2023-05-26,A002,Bob Brown,A003,Global Traders,6632.74
2023-11-24,A005,Charlie Davis,A003,ABC Inc,8931.07
2023-08-29,A004,John Doe,A005,Tech Solutions,3559.01
2023-01-07,A004,Bob Brown,A005,123 Services,7327.06
2023-07-26,A005,Bob Brown,A001,Tech Solutions,1649.09
2023-09-24,A002,Alice Johnson,A002,Tech Solutions,2813.15
2023-12-25,A001,Bob Brown,A004,123 Services,8654.65
2023-09-05,A002,Alice Johnson,A004,123 Services,4924.89
2023-08-26,A004,Alice Johnson,A005,Tech Solutions,8328.11
2023-05-30,A002,Bob Brown,A005,Global Traders,1603.1
2023-02-22,A003,Charlie Davis,A002,ABC Inc,2679.9
2023-01-07,A002,Bob Brown,A005,123 Services,2608.77
2023-09-25,A004,Alice Johnson,A004,ABC Inc,8830.32
2023-12-21,A005,Jane Smith,A001,ABC Inc,8795.85
2023-03-04,A004,John Doe,A004,XYZ Corp,2934.37
2023-09-05,A002,Alice Johnson,A001,Tech Solutions,7430.25
2023-06-19,A003,Jane Smith,A005,ABC Inc,8258.94
2023-08-09,A003,Alice Johnson,A004,Global Traders,1990.45
2023-08-31,A001,John Doe,A004,XYZ Corp,8082.37
2023-09-08,A001,John Doe,A002,Global Traders,6688.16
2023-03-30,A001,Jane Smith,A003,Tech Solutions,7710.81
2023-05-10,A004,Bob Brown,A003,Global Traders,4064.09
2023-11-06,A001,John Doe,A003,XYZ Corp,7674.58
2023-11-08,A002,Charlie Davis,A002,123 Services,7371.46
2023-10-28,A005,Bob Brown,A005,Global Traders,9542.85
2023-02-14,A002,Alice Johnson,A005,ABC Inc,3642.57
2023-09-25,A004,John Doe,A002,Global Traders,6060.65
2023-07-29,A005,John Doe,A005,Tech Solutions,3326.64
2023-04-04,A002,Alice Johnson,A004,Tech Solutions,332.14
2023-04-29,A005,Jane Smith,A003,ABC Inc,5441.88
2023-02-24,A003,Alice Johnson,A002,ABC Inc,7553.48
2023-05-21,A002,Bob Brown,A001,Global Traders,4909.84
2023-04-20,A004,Alice Johnson,A002,Tech Solutions,4876.4
2023-05-05,A005,Jane Smith,A001,ABC Inc,8482.55
2023-01-22,A002,Alice Johnson,A003,Global Traders,3958.9
2023-03-21,A004,Alice Johnson,A004,Global Traders,817.04
2023-03-20,A002,Bob Brown,A004,123 Services,102.94
2023-11-09,A001,Alice Johnson,A003,Tech Solutions,5627.18
2023-11-15,A001,John Doe,A003,XYZ Corp,7963.53
2023-08-24,A004,Jane Smith,A005,ABC Inc,8496.23
2023-11-29,A005,Bob Brown,A003,Global Traders,8232.1
2023-12-16,A002,Charlie Davis,A005,123 Services,3403.94
2023-03-04,A002,Charlie Davis,A002,123 Services,8185.39
2023-08-02,A003,Charlie Davis,A003,123 Services,529.53
2023-12-29,A005,Bob Brown,A002,Tech Solutions,5170.2
2023-03-07,A003,Charlie Davis,A002,Tech Solutions,759.93
2023-05-02,A001,Charlie Davis,A002,123 Services,6845.79
2023-04-26,A002,Bob Brown,A004,Tech Solutions,5330.95
2023-09-20,A002,John Doe,A001,ABC Inc,6790.5
2023-11-22,A002,Jane Smith,A002,ABC Inc,1720.72
2023-02-02,A004,John Doe,A001,XYZ Corp,8474.08
2023-06-01,A005,Jane Smith,A001,ABC Inc,2685.69
2023-04-23,A001,Bob Brown,A001,ABC Inc,1259.0
2023-12-06,A005,Charlie Davis,A001,123 Services,4235.33
2023-05-10,A001,Bob Brown,A002,Global Traders,5940.84
2023-12-16,A001,Jane Smith,A005,XYZ Corp,964.04
2023-12-13,A004,Charlie Davis,A004,ABC Inc,1606.22
2023-07-30,A001,Bob Brown,A002,Global Traders,4804.5
2023-07-06,A001,Jane Smith,A001,XYZ Corp,4407.84
2023-05-04,A004,Jane Smith,A001,ABC Inc,4148.77
2023-09-20,A002,Alice Johnson,A002,Tech Solutions,9145.17
2023-07-03,A001,John Doe,A001,ABC Inc,8173.67
2023-07-26,A002,Bob Brown,A002,ABC Inc,8500.43
2023-02-11,A003,Jane Smith,A003,ABC Inc,5513.44
2023-11-07,A004,Jane Smith,A001,Global Traders,5787.19
2023-10-02,A003,John Doe,A005,XYZ Corp,2554.86
2023-11-24,A002,John Doe,A001,XYZ Corp,4881.93
2023-09-12,A003,Alice Johnson,A003,ABC Inc,8212.72
2023-02-17,A005,Jane Smith,A003,ABC Inc,1868.11
2023-10-23,A005,Alice Johnson,A003,ABC Inc,1830.34
2023-04-30,A004,Jane Smith,A003,123 Services,4772.58
2023-11-11,A004,Alice Johnson,A002,XYZ Corp,4799.92
2023-12-14,A001,Jane Smith,A001,ABC Inc,9795.83
2023-05-09,A001,Jane Smith,A004,ABC Inc,1789.36
2023-06-25,A001,Bob Brown,A003,123 Services,6454.74
2023-03-19,A001,Bob Brown,A001,123 Services,5502.9
2023-11-22,A003,Bob Brown,A003,ABC Inc,8427.47
2023-07-06,A002,Bob Brown,A002,Global Traders,5086.0
2023-04-30,A001,John Doe,A002,123 Services,5311.73
2023-01-20,A005,Jane Smith,A005,ABC Inc,5575.3
2023-04-14,A002,Alice Johnson,A003,123 Services,703.9
2023-11-10,A003,Alice Johnson,A005,ABC Inc,1571.04
2023-03-25,A005,Alice Johnson,A005,123 Services,5867.11
2023-11-17,A005,Alice Johnson,A005,XYZ Corp,1899.73
2023-12-04,A003,Charlie Davis,A004,123 Services,3437.07
2023-04-09,A004,Bob Brown,A003,Global Traders,6509.58
2023-11-28,A004,John Doe,A003,XYZ Corp,7401.01
2023-11-14,A003,Bob Brown,A002,XYZ Corp,2894.11
2023-10-29,A001,Bob Brown,A004,Tech Solutions,1540.66
2023-04-29,A002,Bob Brown,A003,ABC Inc,6020.54
2023-08-19,A003,Alice Johnson,A003,123 Services,9093.36
2023-12-14,A004,John Doe,A001,Global Traders,623.11
2023-12-09,A005,Charlie Davis,A001,123 Services,8508.49
2023-04-07,A005,Jane Smith,A005,ABC Inc,8329.76
2023-11-02,A002,Jane Smith,A005,XYZ Corp,6526.41
2023-03-17,A002,John Doe,A002,ABC Inc,5107.01
2023-10-31,A002,Bob Brown,A005,XYZ Corp,7092.98
2023-12-11,A002,Alice Johnson,A002,Global Traders,8310.38
2023-04-13,A003,Jane Smith,A002,123 Services,1624.17
2023-02-25,A002,Bob Brown,A003,Global Traders,1197.97
2023-02-11,A003,Jane Smith,A002,Tech Solutions,2359.32
2023-07-20,A004,Charlie Davis,A004,123 Services,6187.96
2023-01-27,A001,John Doe,A004,XYZ Corp,5144.73
2023-10-04,A005,Alice Johnson,A005,Tech Solutions,6589.11
2023-05-12,A003,Charlie Davis,A001,123 Services,2425.5
2023-06-17,A001,Jane Smith,A004,ABC Inc,5393.01
2023-04-26,A002,Alice Johnson,A004,Global Traders,1293.19
2023-09-27,A005,Alice Johnson,A005,Tech Solutions,9227.09
2023-03-23,A004,John Doe,A005,Global Traders,1319.52
2023-07-07,A001,John Doe,A002,Tech Solutions,128.64
2023-03-14,A005,Bob Brown,A005,Global Traders,7035.93
2023-09-25,A002,Bob Brown,A001,ABC Inc,1988.57
2023-12-27,A004,Alice Johnson,A003,ABC Inc,9571.47
2023-04-21,A001,Jane Smith,A001,123 Services,8786.04
2023-03-02,A003,Charlie Davis,A001,Global Traders,8707.5
2023-04-02,A005,Bob Brown,A002,123 Services,1709.25
2023-10-13,A003,Bob Brown,A005,Tech Solutions,772.93
2023-03-15,A005,Bob Brown,A001,Tech Solutions,1501.08
2023-11-18,A004,Alice Johnson,A004,Global Traders,4822.57
2023-08-09,A002,John Doe,A005,XYZ Corp,8109.85
2023-09-09,A005,Jane Smith,A003,XYZ Corp,3664.38
2023-09-30,A003,Jane Smith,A005,ABC Inc,5412.61
2023-05-08,A004,John Doe,A004,123 Services,7738.87
2023-03-31,A003,Alice Johnson,A002,Global Traders,1077.42
2023-06-21,A004,John Doe,A003,Global Traders,6488.02
2023-03-19,A003,Alice Johnson,A004,Tech Solutions,225.01
2023-06-23,A001,John Doe,A002,Global Traders,2155.27
2023-12-15,A002,Bob Brown,A004,XYZ Corp,2816.82
2023-01-19,A002,Charlie Davis,A003,Tech Solutions,5656.74
2023-12-17,A001,Alice Johnson,A001,XYZ Corp,8890.63
2023-03-28,A002,Charlie Davis,A003,XYZ Corp,608.13
2023-06-07,A002,Bob Brown,A003,Tech Solutions,7091.39
2023-05-25,A002,Bob Brown,A002,Global Traders,905.29
2023-10-01,A005,Jane Smith,A005,Tech Solutions,9158.35
2023-08-07,A005,John Doe,A003,123 Services,7342.79
2023-07-01,A003,Bob Brown,A003,ABC Inc,2754.81
2023-07-07,A002,John Doe,A005,123 Services,1416.65
2023-05-23,A003,Bob Brown,A004,Global Traders,4494.18
2023-09-03,A004,Bob Brown,A005,Tech Solutions,2386.44
2023-12-08,A004,Jane Smith,A003,123 Services,508.5
2023-03-05,A002,John Doe,A002,XYZ Corp,9487.57
2023-10-05,A005,Bob Brown,A005,XYZ Corp,2921.84
2023-09-14,A001,Charlie Davis,A001,Tech Solutions,7631.41
2023-08-31,A001,Alice Johnson,A004,XYZ Corp,7023.64
2023-03-18,A004,John Doe,A001,XYZ Corp,8735.75
2023-07-04,A004,John Doe,A001,XYZ Corp,766.05
2023-11-17,A005,Charlie Davis,A001,123 Services,2171.66
2023-07-06,A004,Charlie Davis,A004,123 Services,1393.77
2023-07-25,A001,John Doe,A003,Tech Solutions,2618.57
2023-04-27,A004,Bob Brown,A002,Global Traders,8062.97
2023-05-13,A002,Alice Johnson,A004,ABC Inc,4236.33
2023-01-21,A002,Bob Brown,A002,ABC Inc,5463.22
2023-12-11,A005,Jane Smith,A005,ABC Inc,3454.39
2023-11-20,A001,Alice Johnson,A001,Global Traders,7915.08
2023-01-17,A001,Charlie Davis,A004,XYZ Corp,742.45
2023-03-24,A002,Charlie Davis,A003,Tech Solutions,6385.15
2023-02-26,A002,Alice Johnson,A003,Tech Solutions,4691.26
2023-01-25,A005,Jane Smith,A002,Tech Solutions,2686.24
2023-11-01,A002,Alice Johnson,A002,Tech Solutions,1141.14
2023-01-03,A005,Alice Johnson,A004,Tech Solutions,3194.4
2023-08-31,A004,Bob Brown,A005,Global Traders,9057.47
2023-07-19,A003,Jane Smith,A003,123 Services,3504.64
2023-04-25,A001,Bob Brown,A001,Global Traders,2898.76
2023-02-20,A002,Bob Brown,A002,Global Traders,7314.56
2023-10-26,A005,Charlie Davis,A001,XYZ Corp,8560.22
2023-12-03,A003,Bob Brown,A002,Global Traders,2837.86
2023-05-13,A003,Jane Smith,A005,ABC Inc,8586.66
2023-08-29,A003,Charlie Davis,A004,123 Services,4382.42
2023-04-12,A002,Alice Johnson,A004,Tech Solutions,5127.33
2023-01-07,A002,Charlie Davis,A004,123 Services,3708.87
2023-04-08,A004,Alice Johnson,A005,123 Services,5741.8
2023-02-22,A002,Jane Smith,A005,Global Traders,7271.05
2023-03-10,A003,Alice Johnson,A002,Tech Solutions,8947.76
2023-09-29,A003,Jane Smith,A001,ABC Inc,4173.93
2023-11-06,A003,Charlie Davis,A001,123 Services,1712.61
2023-07-21,A003,Jane Smith,A004,XYZ Corp,8497.35
2023-03-05,A005,Jane Smith,A005,ABC Inc,9006.91
2023-10-05,A002,Bob Brown,A001,ABC Inc,643.02
2023-06-25,A003,Jane Smith,A003,123 Services,1306.27
2023-08-09,A005,Charlie Davis,A004,Tech Solutions,6646.08
2023-10-31,A001,Charlie Davis,A002,123 Services,8624.91
2023-03-24,A003,Alice Johnson,A002,Tech Solutions,8769.45
2023-12-24,A001,Bob Brown,A003,Tech Solutions,297.42
2023-05-16,A004,Alice Johnson,A003,XYZ Corp,8659.86
2023-04-19,A001,John Doe,A002,Tech Solutions,2912.59
2023-11-05,A001,Charlie Davis,A005,123 Services,2036.15
2023-02-24,A002,John Doe,A004,XYZ Corp,2253.27
2023-06-28,A001,John Doe,A003,XYZ Corp,4850.3
2023-04-09,A005,Charlie Davis,A003,123 Services,7896.06
2023-05-27,A004,Jane Smith,A005,Tech Solutions,1453.12
2023-02-08,A002,Charlie Davis,A002,ABC Inc,9910.35
2023-07-24,A001,Jane Smith,A001,ABC Inc,7096.66
2023-01-28,A002,John Doe,A005,ABC Inc,325.57
2023-01-23,A002,Bob Brown,A005,123 Services,5734.12
2023-04-26,A002,Alice Johnson,A005,Tech Solutions,115.57
2023-10-15,A003,Charlie Davis,A004,ABC Inc,9193.06
2023-08-03,A005,John Doe,A004,XYZ Corp,1116.62
2023-01-20,A003,Alice Johnson,A003,Global Traders,7443.34
2023-04-05,A001,Jane Smith,A004,XYZ Corp,9491.49
2023-10-17,A002,Alice Johnson,A004,Tech Solutions,9740.49
2023-03-25,A004,Alice Johnson,A002,Tech Solutions,9634.93
2023-04-30,A005,Alice Johnson,A002,Global Traders,9422.12
2023-03-15,A005,Jane Smith,A005,XYZ Corp,4852.94
2023-01-12,A002,John Doe,A002,ABC Inc,5890.29
2023-09-04,A003,Bob Brown,A003,Global Traders,4867.14
2023-07-11,A003,John Doe,A004,123 Services,8405.83
2023-10-23,A004,Bob Brown,A002,Global Traders,8642.29
2023-02-14,A004,John Doe,A003,ABC Inc,7226.37
2023-09-06,A001,Alice Johnson,A002,123 Services,6862.61
2023-11-14,A004,Alice Johnson,A004,Global Traders,3645.89
2023-04-16,A003,Charlie Davis,A003,123 Services,1698.24
2023-11-06,A005,Bob Brown,A002,XYZ Corp,8692.23
2023-12-11,A001,Alice Johnson,A004,XYZ Corp,7096.91
2023-06-30,A001,Alice Johnson,A002,XYZ Corp,9124.12
2023-12-28,A004,Charlie Davis,A005,XYZ Corp,4808.12
2023-08-30,A003,Charlie Davis,A001,XYZ Corp,915.42
2023-02-01,A005,Jane Smith,A003,ABC Inc,7305.77
2023-04-01,A001,Jane Smith,A004,ABC Inc,2329.12
2023-11-14,A001,Bob Brown,A003,Global Traders,2040.7
2023-11-24,A003,Charlie Davis,A005,123 Services,7473.95
2023-02-09,A001,Bob Brown,A004,XYZ Corp,7937.87
2023-11-11,A003,Bob Brown,A002,Global Traders,7539.16
2023-04-30,A003,John Doe,A005,XYZ Corp,9969.56
2023-03-12,A003,John Doe,A004,Tech Solutions,3232.72
2023-04-08,A003,Bob Brown,A005,Global Traders,9565.49
2023-11-09,A002,Jane Smith,A002,Tech Solutions,503.75
2023-04-28,A003,Jane Smith,A001,123 Services,6927.13
2023-06-14,A002,Charlie Davis,A001,XYZ Corp,4885.7
2023-04-02,A003,Alice Johnson,A003,Tech Solutions,9644.49
2023-10-09,A002,Bob Brown,A002,Tech Solutions,2204.26
2023-02-09,A002,John Doe,A001,XYZ Corp,7127.18
2023-02-28,A003,Alice Johnson,A005,Tech Solutions,9363.42
2023-01-10,A003,John Doe,A004,Tech Solutions,2805.73
2023-02-14,A005,Alice Johnson,A003,Tech Solutions,3328.13
2023-12-05,A005,John Doe,A001,Global Traders,5705.87
2023-09-12,A001,Bob Brown,A003,123 Services,7221.95
2023-09-15,A002,Alice Johnson,A003,XYZ Corp,6742.69
2023-01-20,A005,Alice Johnson,A003,123 Services,1902.5
2023-10-20,A004,Bob Brown,A001,Global Traders,8638.13
2023-07-21,A005,John Doe,A001,XYZ Corp,9841.33
2023-05-07,A002,Charlie Davis,A001,Tech Solutions,8616.84
2023-05-18,A002,Bob Brown,A003,123 Services,7142.11
2023-04-01,A001,Jane Smith,A003,ABC Inc,9538.1
2023-07-29,A003,Alice Johnson,A002,Tech Solutions,1494.73
2023-03-06,A005,Bob Brown,A001,Global Traders,591.94
2023-09-19,A003,Jane Smith,A001,ABC Inc,6578.27
2023-07-11,A003,Alice Johnson,A001,Tech Solutions,3684.75
2023-11-15,A003,Charlie Davis,A003,123 Services,705.3
2023-06-13,A003,Jane Smith,A002,Tech Solutions,6191.87
2024-01-01,A001,Jane Smith,A001,XYZ Corp,9167.85
2023-05-25,A002,Jane Smith,A002,XYZ Corp,8428.01
2023-06-07,A002,John Doe,A001,XYZ Corp,4818.61
2023-12-16,A001,Bob Brown,A001,ABC Inc,3394.7
2023-04-24,A001,Charlie Davis,A004,123 Services,3147.37
2023-08-23,A001,Charlie Davis,A004,123 Services,7406.61
2023-09-17,A001,Charlie Davis,A003,ABC Inc,159.1
2023-09-28,A004,Alice Johnson,A002,123 Services,2775.81
2023-01-25,A005,Alice Johnson,A005,123 Services,1853.49
2023-03-22,A004,Jane Smith,A002,ABC Inc,4474.49
2023-02-27,A001,John Doe,A005,Tech Solutions,843.44
2023-10-26,A005,Bob Brown,A002,Global Traders,1864.32
2023-06-13,A004,Jane Smith,A004,Tech Solutions,1086.47
2023-04-21,A005,John Doe,A005,ABC Inc,4932.4
2023-10-25,A005,John Doe,A001,Global Traders,4733.09
2023-02-24,A005,John Doe,A004,XYZ Corp,526.52
2023-06-04,A003,Alice Johnson,A001,Tech Solutions,7716.26
2023-05-26,A005,Alice Johnson,A005,Tech Solutions,7726.53
2023-08-16,A005,Alice Johnson,A002,Global Traders,6833.32
2023-09-16,A002,Charlie Davis,A002,123 Services,3376.08
2023-11-06,A005,Charlie Davis,A005,123 Services,2966.67
2023-07-10,A001,Alice Johnson,A003,Tech Solutions,2053.47
2023-11-06,A005,Alice Johnson,A001,Global Traders,8061.53
2023-04-18,A002,Alice Johnson,A004,Tech Solutions,6526.63
2023-04-19,A004,John Doe,A004,Tech Solutions,9652.46
2023-04-01,A001,Charlie Davis,A004,Global Traders,4590.89
2023-03-17,A005,Jane Smith,A005,ABC Inc,6882.87
2023-11-06,A001,Alice Johnson,A004,ABC Inc,1723.48
2023-06-23,A002,John Doe,A001,123 Services,988.69
2023-11-02,A003,John Doe,A003,Tech Solutions,9397.02
2023-12-21,A002,John Doe,A002,ABC Inc,6267.56
2023-10-02,A002,John Doe,A003,XYZ Corp,7334.13
2023-11-08,A002,John Doe,A005,XYZ Corp,8003.95
2023-08-06,A003,Charlie Davis,A005,123 Services,2760.06
2023-12-24,A003,Charlie Davis,A005,123 Services,6179.99
2023-03-28,A002,Jane Smith,A005,Global Traders,5716.87
2023-04-26,A003,Charlie Davis,A003,123 Services,2619.4
2023-09-29,A003,Alice Johnson,A001,Global Traders,1965.43
2023-08-27,A002,Alice Johnson,A002,Tech Solutions,9178.17
2023-01-09,A003,Alice Johnson,A001,ABC Inc,7714.77
2023-06-14,A005,Jane Smith,A001,Tech Solutions,192.19
2023-05-23,A005,Alice Johnson,A003,123 Services,2280.68
2023-01-05,A004,John Doe,A004,Global Traders,8727.81
2023-04-27,A005,Jane Smith,A001,Global Traders,5431.75
2023-02-15,A001,Alice Johnson,A002,Global Traders,743.02
2023-10-02,A005,Charlie Davis,A005,Tech Solutions,5091.81
2023-03-11,A005,John Doe,A002,123 Services,1324.69
2023-01-20,A004,Charlie Davis,A005,Global Traders,8697.3
2023-09-26,A004,Bob Brown,A004,Global Traders,5211.67
2023-05-04,A003,Alice Johnson,A002,XYZ Corp,2609.18
2023-01-31,A004,Charlie Davis,A004,XYZ Corp,8526.96
2023-05-31,A004,Charlie Davis,A005,Tech Solutions,9478.83
2023-04-29,A005,Bob Brown,A002,123 Services,2167.07
2023-10-25,A004,Alice Johnson,A004,Global Traders,5668.58
2023-09-05,A002,Alice Johnson,A002,Tech Solutions,5189.47
2023-03-28,A003,Jane Smith,A001,ABC Inc,8951.57
2023-10-27,A005,Charlie Davis,A005,123 Services,1731.36
2023-09-11,A004,Bob Brown,A001,Global Traders,5009.29
2023-09-17,A005,John Doe,A002,ABC Inc,5592.83
2023-08-16,A002,Bob Brown,A004,Global Traders,7127.9
2023-04-09,A002,Alice Johnson,A001,Tech Solutions,4323.01
2023-07-11,A005,Jane Smith,A005,123 Services,2318.45
2023-02-17,A005,Jane Smith,A002,ABC Inc,8538.09
2023-04-21,A002,Jane Smith,A005,ABC Inc,3666.39
2023-07-13,A003,Charlie Davis,A003,ABC Inc,2555.38
2023-01-11,A004,Bob Brown,A001,Global Traders,990.32
2023-06-08,A005,Alice Johnson,A001,ABC Inc,4689.2
2023-09-13,A003,John Doe,A003,ABC Inc,9957.67
2023-02-04,A005,Alice Johnson,A004,ABC Inc,8145.55
2023-05-30,A004,Bob Brown,A004,ABC Inc,3091.77
2023-08-06,A002,John Doe,A002,123 Services,6534.54
2023-07-30,A005,Bob Brown,A001,123 Services,3728.37
2023-08-07,A004,Alice Johnson,A005,Tech Solutions,3348.26
2023-12-09,A004,Bob Brown,A005,123 Services,4369.34
2023-10-25,A005,John Doe,A005,Global Traders,1037.94
2023-07-25,A001,Jane Smith,A004,ABC Inc,5991.12
2023-08-20,A002,Jane Smith,A004,Global Traders,8369.58
2023-08-19,A004,Alice Johnson,A002,ABC Inc,8243.64
2023-11-28,A004,Charlie Davis,A003,Global Traders,2164.76
2023-02-10,A001,Charlie Davis,A005,XYZ Corp,1596.97
2023-12-10,A002,Alice Johnson,A004,ABC Inc,6259.39
2023-11-08,A004,Bob Brown,A004,123 Services,946.81
2023-03-09,A004,Alice Johnson,A004,ABC Inc,9741.24
2023-12-07,A004,Alice Johnson,A005,123 Services,3933.94
2023-07-03,A004,Jane Smith,A004,ABC Inc,1168.06
2023-12-12,A001,Jane Smith,A001,ABC Inc,1700.47
2023-07-26,A005,Charlie Davis,A005,ABC Inc,9131.48
2023-08-07,A004,John Doe,A004,Global Traders,6536.26
2023-06-04,A001,Alice Johnson,A004,Tech Solutions,4292.76
2023-08-17,A005,Bob Brown,A005,ABC Inc,6086.44
2023-12-29,A005,John Doe,A005,XYZ Corp,8900.67
2023-07-29,A003,Alice Johnson,A002,Tech Solutions,8174.26
2023-07-19,A005,John Doe,A003,XYZ Corp,1494.43
2023-09-01,A001,Charlie Davis,A005,123 Services,886.25
2023-10-13,A001,Jane Smith,A001,ABC Inc,5305.23
2023-07-28,A002,Bob Brown,A005,123 Services,7755.73
2023-01-10,A005,Charlie Davis,A002,Tech Solutions,4244.8
2023-07-20,A004,Alice Johnson,A005,Tech Solutions,8133.55
2023-03-12,A003,Jane Smith,A001,XYZ Corp,3711.27
2023-01-25,A002,Jane Smith,A004,123 Services,4170.53
2023-03-04,A004,Charlie Davis,A001,Global Traders,4620.25
2023-07-04,A002,Alice Johnson,A003,XYZ Corp,3885.84
2023-05-09,A004,Alice Johnson,A004,Global Traders,175.0
2023-10-26,A004,Jane Smith,A003,ABC Inc,9267.08
2023-11-12,A001,John Doe,A002,ABC Inc,7090.52
2023-09-08,A004,Jane Smith,A002,XYZ Corp,8931.9
2023-06-17,A004,John Doe,A002,XYZ Corp,5517.79
2023-10-08,A005,Alice Johnson,A005,123 Services,8302.21
2023-04-30,A005,John Doe,A003,ABC Inc,9657.06
2023-10-25,A001,Jane Smith,A005,Tech Solutions,4290.54
2023-11-12,A005,Jane Smith,A003,123 Services,9917.53
2023-10-16,A002,Jane Smith,A004,Global Traders,395.07
2023-10-21,A003,John Doe,A004,XYZ Corp,4153.49
2023-09-16,A004,Bob Brown,A002,Global Traders,4398.29
2023-03-01,A003,Charlie Davis,A001,ABC Inc,7314.08
2023-03-17,A003,Charlie Davis,A004,123 Services,4955.37
2023-12-10,A001,Jane Smith,A004,ABC Inc,2674.26
2023-06-05,A002,Bob Brown,A005,Global Traders,5091.73
2023-12-17,A005,John Doe,A005,XYZ Corp,8751.78
2023-09-23,A004,Charlie Davis,A005,123 Services,2856.8
2023-07-04,A004,Bob Brown,A004,Tech Solutions,4565.23
2023-08-18,A002,Charlie Davis,A004,XYZ Corp,9310.74
2023-10-13,A003,Alice Johnson,A005,Tech Solutions,948.9
2023-06-02,A003,Bob Brown,A003,ABC Inc,6003.71
2023-12-03,A001,Bob Brown,A005,Global Traders,4785.67
2023-04-18,A002,Jane Smith,A002,Global Traders,1968.02
2023-08-03,A005,Alice Johnson,A001,123 Services,7386.83
2023-05-05,A004,Alice Johnson,A001,ABC Inc,3844.56
2023-04-23,A004,Bob Brown,A004,Global Traders,5050.0
2023-12-03,A003,Alice Johnson,A002,ABC Inc,2162.04
2023-07-10,A003,Jane Smith,A005,123 Services,9469.18
2023-08-24,A001,Bob Brown,A001,XYZ Corp,4256.51
