Date,From Account,From Sender,To Account,To Recipient,Amount in Euro
2023-03-02,A001,Charlie Davis,A004,XYZ Corp,7973.7
2023-11-14,A005,Jane Smith,A002,ABC Inc,5108.72
2023-11-02,A001,Charlie Davis,A001,123 Services,556.03
2023-09-12,A003,Jane Smith,A003,ABC Inc,5301.3
2023-09-27,A005,Bob Brown,A001,Global Traders,2051.56
2023-08-10,A001,Alice Johnson,A004,123 Services,6369.86
2023-06-02,A001,Bob Brown,A002,XYZ Corp,9316.06
2023-09-13,A005,Charlie Davis,A004,123 Services,9965.49
2023-12-28,A004,John Doe,A004,Tech Solutions,4090.27
2023-11-03,A003,Jane Smith,A004,XYZ Corp,4788.36
2023-02-10,A002,Charlie Davis,A001,Global Traders,1924.53
2023-03-09,A001,John Doe,A002,Global Traders,7634.25
2023-12-25,A005,Alice Johnson,A005,Tech Solutions,6880.59
2023-06-25,A002,Charlie Davis,A002,Global Traders,4236.52
2023-08-28,A005,Bob Brown,A002,ABC Inc,8695.8
2023-06-23,A004,John Doe,A003,123 Services,8369.07
2023-09-21,A003,Bob Brown,A003,Tech Solutions,9688.15
2023-02-07,A001,Jane Smith,A001,Tech Solutions,9986.81
2023-11-28,A004,Bob Brown,A001,Global Traders,2832.02
2023-09-07,A003,Alice Johnson,A001,Tech Solutions,6200.89
2023-06-05,A004,Charlie Davis,A003,123 Services,8994.33
2023-09-08,A001,Charlie Davis,A002,ABC Inc,9766.78
2023-03-15,A002,Charlie Davis,A003,Tech Solutions,9136.41
2023-05-20,A002,Alice Johnson,A003,Tech Solutions,1774.73
2023-03-03,A005,Bob Brown,A002,XYZ Corp,375.71
2023-07-18,A004,Bob Brown,A004,123 Services,695.9
2023-12-03,A002,Alice Johnson,A001,123 Services,2796.76
2023-05-16,A005,Alice Johnson,A003,Tech Solutions,991.96
2023-01-15,A003,Charlie Davis,A002,Global Traders,3697.81
2023-04-13,A003,John Doe,A003,XYZ Corp,2292.78
2023-03-10,A005,Alice Johnson,A005,ABC Inc,6908.04
2023-12-03,A004,Bob Brown,A001,XYZ Corp,650.7
2023-11-29,A005,Alice Johnson,A001,Global Traders,2420.67
2023-03-21,A003,Jane Smith,A002,Tech Solutions,5045.52
2023-08-10,A003,Alice Johnson,A004,XYZ Corp,9306.75
2023-02-19,A003,Bob Brown,A002,Global Traders,9300.76
2023-02-05,A004,Jane Smith,A002,123 Services,656.29
2023-07-05,A004,John Doe,A004,XYZ Corp,9868.95
2023-12-05,A003,Alice Johnson,A002,XYZ Corp,5317.64
2023-03-16,A002,Charlie Davis,A002,123 Services,9235.3
2023-05-28,A004,Charlie Davis,A001,123 Services,5011.85
2023-12-21,A002,Jane Smith,A001,123 Services,7770.43
2023-04-14,A003,Charlie Davis,A002,Tech Solutions,6928.48
2023-12-11,A001,Jane Smith,A001,123 Services,7117.93
2023-09-02,A005,John Doe,A004,XYZ Corp,398.72
2023-10-17,A005,Bob Brown,A003,ABC Inc,8042.98
2023-09-02,A005,Bob Brown,A001,Global Traders,8026.73
2023-10-19,A004,Alice Johnson,A003,Tech Solutions,9930.81
2023-05-23,A004,John Doe,A004,ABC Inc,1478.52
2023-10-14,A001,Alice Johnson,A002,Tech Solutions,5970.86
2023-04-18,A005,Alice Johnson,A003,Tech Solutions,5658.61
2023-03-11,A004,Charlie Davis,A005,Tech Solutions,8016.09
2023-05-24,A003,Alice Johnson,A002,Tech Solutions,1787.34
2023-01-26,A002,Alice Johnson,A004,Tech Solutions,9835.94
2023-12-21,A005,John Doe,A003,Global Traders,9970.14
2023-11-29,A004,Bob Brown,A001,ABC Inc,4137.74
2023-10-06,A002,Alice Johnson,A005,Tech Solutions,3546.77
2023-07-04,A004,Charlie Davis,A004,XYZ Corp,9079.58
2023-04-28,A004,John Doe,A001,XYZ Corp,9787.16
2023-09-27,A001,Jane Smith,A004,123 Services,1566.74
2023-09-13,A002,Charlie Davis,A002,123 Services,7975.88
2023-10-17,A002,Charlie Davis,A001,123 Services,4267.33
2023-02-05,A001,Alice Johnson,A001,Global Traders,915.73
2023-02-10,A005,John Doe,A005,XYZ Corp,2754.72
2023-12-17,A003,Jane Smith,A002,XYZ Corp,7231.83
2023-09-27,A002,Charlie Davis,A003,123 Services,2842.88
2023-11-11,A004,Charlie Davis,A005,123 Services,2485.36
2023-08-01,A001,Charlie Davis,A001,123 Services,6087.4
2023-09-05,A004,Charlie Davis,A003,123 Services,1597.07
2023-07-10,A004,Charlie Davis,A001,123 Services,9361.07
2023-01-11,A003,Jane Smith,A005,ABC Inc,1223.86
2023-04-12,A005,Jane Smith,A005,ABC Inc,9062.21
2023-03-08,A002,Charlie Davis,A001,Global Traders,780.79
2023-10-03,A004,Charlie Davis,A005,ABC Inc,3678.33
2023-07-29,A002,John Doe,A002,XYZ Corp,7208.82
2023-11-05,A002,Charlie Davis,A005,ABC Inc,4308.85
2023-11-11,A002,Alice Johnson,A002,XYZ Corp,9173.42
2023-10-23,A004,Jane Smith,A001,ABC Inc,302.52
2023-07-27,A005,Jane Smith,A002,ABC Inc,3473.87
2023-04-23,A003,Jane Smith,A004,Global Traders,9490.45
2023-07-31,A004,Charlie Davis,A001,Tech Solutions,1434.73
2023-06-16,A001,Charlie Davis,A001,123 Services,153.26
2023-06-25,A003,John Doe,A005,123 Services,6666.61
2023-06-13,A002,Charlie Davis,A001,ABC Inc,8042.58
2023-07-05,A003,Bob Brown,A001,ABC Inc,7774.13
2023-03-07,A005,John Doe,A005,XYZ Corp,5763.51
2023-04-14,A005,John Doe,A002,Global Traders,8225.51
2023-12-11,A005,Alice Johnson,A004,Tech Solutions,6716.04
2023-06-02,A004,John Doe,A002,ABC Inc,337.25
2023-04-26,A005,Jane Smith,A004,ABC Inc,3126.05
2023-04-05,A005,Alice Johnson,A003,ABC Inc,7489.97
2023-12-22,A005,Bob Brown,A005,ABC Inc,6306.07
2023-10-06,A005,Alice Johnson,A005,Tech Solutions,8418.5
2023-08-29,A002,John Doe,A005,XYZ Corp,3292.22
2023-04-20,A003,Charlie Davis,A002,123 Services,6851.83
2023-11-26,A003,Jane Smith,A003,ABC Inc,6195.87
2023-06-27,A002,Alice Johnson,A004,Global Traders,6003.7
2023-07-17,A003,Alice Johnson,A003,Tech Solutions,8541.31
2023-12-09,A002,Alice Johnson,A004,Tech Solutions,3028.5
2023-03-26,A001,Charlie Davis,A005,Global Traders,8264.03
2023-12-23,A005,Alice Johnson,A002,Tech Solutions,8383.48
2023-01-18,A001,Jane Smith,A003,ABC Inc,9952.14
2023-01-18,A002,Alice Johnson,A002,Tech Solutions,375.3
2023-07-04,A003,Charlie Davis,A003,123 Services,5982.69
2023-04-14,A002,Charlie Davis,A002,123 Services,1269.89
2023-04-19,A003,John Doe,A002,Tech Solutions,3019.25
2023-07-27,A003,Charlie Davis,A002,XYZ Corp,7020.45
2023-07-22,A004,Charlie Davis,A002,123 Services,958.54
2023-09-06,A002,John Doe,A001,XYZ Corp,5386.28
2023-04-30,A005,Bob Brown,A003,ABC Inc,6498.4
2023-02-24,A005,Bob Brown,A005,XYZ Corp,1920.36
2023-01-19,A002,Jane Smith,A003,Global Traders,2681.14
2023-05-19,A004,Charlie Davis,A001,123 Services,5338.14
2023-10-21,A001,Charlie Davis,A004,ABC Inc,9947.97
2023-03-12,A005,Jane Smith,A005,Global Traders,9204.82
2023-01-07,A005,Jane Smith,A005,ABC Inc,2643.38
2023-05-12,A005,John Doe,A001,123 Services,5187.28
2023-10-08,A005,John Doe,A004,XYZ Corp,1297.76
2023-06-27,A005,Charlie Davis,A005,123 Services,4183.46
2023-06-15,A003,Jane Smith,A002,ABC Inc,358.71
2023-08-25,A004,Bob Brown,A003,Global Traders,1404.25
2023-11-19,A001,Charlie Davis,A001,XYZ Corp,7644.68
2023-05-27,A004,Jane Smith,A004,ABC Inc,4465.57
2023-01-18,A005,Bob Brown,A002,Global Traders,7025.45
2023-06-29,A004,Alice Johnson,A001,XYZ Corp,6114.33
2023-09-02,A004,Bob Brown,A001,Global Traders,5047.25
2023-04-30,A004,Alice Johnson,A003,Tech Solutions,6616.97
2023-04-12,A001,Bob Brown,A002,123 Services,7954.45
2023-01-19,A005,Bob Brown,A002,Tech Solutions,5929.2
2023-05-03,A003,Bob Brown,A003,Global Traders,238.59
2023-04-12,A005,Charlie Davis,A002,123 Services,1530.2
2023-08-05,A003,John Doe,A002,XYZ Corp,8578.83
2023-12-22,A002,Bob Brown,A002,123 Services,8209.98
2023-03-29,A001,Charlie Davis,A002,123 Services,9407.9
2023-07-14,A004,Jane Smith,A001,ABC Inc,7531.43
2023-10-31,A002,Bob Brown,A005,ABC Inc,2738.56
2023-03-25,A002,Jane Smith,A004,ABC Inc,110.4
2023-01-03,A001,Charlie Davis,A004,123 Services,621.36
2023-11-16,A005,Jane Smith,A004,ABC Inc,9016.5
2023-03-26,A002,Alice Johnson,A005,Tech Solutions,4345.04
2023-07-27,A001,Bob Brown,A001,XYZ Corp,1688.67
2023-09-12,A002,Charlie Davis,A002,123 Services,2202.35
2023-05-01,A002,Charlie Davis,A005,Global Traders,1637.0
2023-06-08,A001,John Doe,A001,XYZ Corp,7382.57
2023-08-17,A003,Jane Smith,A005,ABC Inc,8248.36
2023-12-20,A002,Charlie Davis,A004,ABC Inc,7665.64
2023-07-07,A004,John Doe,A004,XYZ Corp,5934.91
2023-01-17,A005,Alice Johnson,A004,XYZ Corp,2057.55
2023-05-25,A003,John Doe,A001,Global Traders,773.26
2023-12-14,A001,Charlie Davis,A003,ABC Inc,6852.67
2023-06-01,A002,John Doe,A002,XYZ Corp,2626.68
2023-10-06,A001,Bob Brown,A001,123 Services,5637.84
2023-08-10,A003,Bob Brown,A005,Global Traders,8726.0
2023-02-28,A003,Bob Brown,A001,Global Traders,137.79
2023-01-21,A002,Charlie Davis,A002,123 Services,7818.87
2023-11-15,A005,Alice Johnson,A004,ABC Inc,1105.69
2023-03-15,A003,Jane Smith,A005,Tech Solutions,9441.8
2023-11-26,A001,Bob Brown,A003,XYZ Corp,8920.29
2023-09-01,A004,John Doe,A005,Global Traders,2325.14
2023-07-31,A005,John Doe,A001,Tech Solutions,3598.99
2023-10-19,A005,Alice Johnson,A002,Tech Solutions,2322.94
2023-10-11,A002,John Doe,A002,ABC Inc,2063.2
2023-01-30,A002,John Doe,A002,XYZ Corp,9743.2
2023-10-11,A002,Bob Brown,A002,XYZ Corp,9547.79
2023-05-09,A002,Alice Johnson,A005,ABC Inc,5869.92
2023-01-23,A004,Bob Brown,A004,Global Traders,1036.62
2023-08-16,A003,Jane Smith,A003,Global Traders,1925.98
2023-01-08,A001,Charlie Davis,A005,Global Traders,7738.39
2023-08-31,A005,Alice Johnson,A001,XYZ Corp,7716.19
2023-03-10,A003,Jane Smith,A001,123 Services,8331.15
2023-08-20,A003,Bob Brown,A002,Global Traders,8944.45
2023-09-04,A003,Jane Smith,A001,ABC Inc,7559.99
2023-05-24,A002,Alice Johnson,A001,Tech Solutions,383.6
2023-06-15,A005,John Doe,A002,XYZ Corp,8512.34
2023-07-14,A002,Alice Johnson,A004,Tech Solutions,457.62
2023-11-14,A003,John Doe,A001,XYZ Corp,3129.71
2023-12-22,A001,Alice Johnson,A003,Tech Solutions,1001.75
2023-01-07,A005,Charlie Davis,A001,Tech Solutions,9947.12
2023-11-25,A002,Charlie Davis,A005,Global Traders,5394.02
2023-06-13,A003,Charlie Davis,A004,123 Services,1692.33
2023-09-08,A004,Jane Smith,A004,Tech Solutions,9492.31
2023-01-24,A003,Charlie Davis,A003,ABC Inc,917.0
2023-12-26,A001,Alice Johnson,A005,ABC Inc,5803.89
2023-07-07,A003,Bob Brown,A001,Global Traders,7473.63
2023-09-28,A005,Jane Smith,A004,ABC Inc,1289.92
2023-04-27,A004,Bob Brown,A005,123 Services,2818.16
2023-12-07,A003,John Doe,A001,ABC Inc,9403.63
2023-04-08,A001,Jane Smith,A003,123 Services,866.2
2023-01-18,A005,John Doe,A003,Tech Solutions,2731.56
2023-11-25,A003,Charlie Davis,A005,Tech Solutions,2799.58
2023-09-26,A005,Charlie Davis,A004,123 Services,862.02
2023-07-22,A005,Charlie Davis,A002,Tech Solutions,6191.17
2023-03-25,A003,Jane Smith,A001,ABC Inc,2615.57
2023-05-06,A002,John Doe,A001,XYZ Corp,727.44
2023-11-22,A005,Charlie Davis,A004,123 Services,8327.61
2023-12-18,A001,Alice Johnson,A001,123 Services,1021.59
2023-03-30,A001,Jane Smith,A003,ABC Inc,2691.05
2023-06-12,A005,Bob Brown,A005,123 Services,399.01
2023-07-07,A004,Bob Brown,A001,Global Traders,3879.39
2023-08-04,A002,John Doe,A004,123 Services,6933.16
2023-12-29,A005,Jane Smith,A003,Global Traders,150.03
2023-08-09,A005,Alice Johnson,A003,Global Traders,5180.04
2023-08-31,A002,Alice Johnson,A003,123 Services,3234.68
2023-12-27,A002,Bob Brown,A001,Tech Solutions,2564.41
2023-01-30,A002,John Doe,A004,XYZ Corp,4169.73
2023-09-29,A001,Bob Brown,A003,Global Traders,7800.18
2023-01-14,A004,John Doe,A003,XYZ Corp,8254.96
2023-02-28,A004,Charlie Davis,A004,XYZ Corp,946.46
2023-12-08,A001,Bob Brown,A004,XYZ Corp,7971.27
2023-07-10,A001,John Doe,A005,Tech Solutions,2213.77
2023-07-13,A002,Bob Brown,A001,XYZ Corp,8244.08
2023-08-06,A002,Bob Brown,A003,Tech Solutions,5793.33
2023-12-17,A005,Charlie Davis,A005,Global Traders,3285.28
2023-10-17,A005,Charlie Davis,A003,XYZ Corp,4612.48
2023-03-14,A002,Charlie Davis,A001,XYZ Corp,9439.08
2023-08-13,A003,Bob Brown,A004,XYZ Corp,9328.24
2023-05-13,A003,Jane Smith,A003,Global Traders,9314.45
2023-10-07,A002,John Doe,A001,Global Traders,6582.32
2023-04-22,A003,Charlie Davis,A003,Global Traders,2383.26
2023-06-13,A003,Bob Brown,A003,Tech Solutions,8501.24
2023-10-22,A002,Jane Smith,A001,Global Traders,1232.94
2023-11-27,A004,Bob Brown,A001,Tech Solutions,4040.8
2023-11-14,A005,Jane Smith,A005,ABC Inc,7560.31
2023-12-07,A001,Bob Brown,A004,Tech Solutions,4209.85
2023-11-05,A004,John Doe,A003,Tech Solutions,8945.73
2023-09-09,A001,Jane Smith,A005,XYZ Corp,2390.02
2023-05-14,A002,Alice Johnson,A003,Global Traders,5093.96
2023-06-08,A003,Alice Johnson,A002,Tech Solutions,173.92
2023-09-29,A002,Alice Johnson,A002,ABC Inc,2005.23
2023-01-10,A004,Jane Smith,A003,123 Services,9573.19
2023-04-22,A005,Bob Brown,A004,Global Traders,6602.56
2023-01-23,A001,John Doe,A005,ABC Inc,4245.04
2023-03-29,A001,John Doe,A001,XYZ Corp,9159.02
2023-09-16,A004,Jane Smith,A004,XYZ Corp,6462.95
2023-07-26,A001,Bob Brown,A004,Global Traders,3813.84
2023-03-21,A002,Bob Brown,A004,Tech Solutions,183.55
2023-11-19,A005,John Doe,A005,XYZ Corp,8109.67
2023-03-29,A003,John Doe,A003,123 Services,1930.31
2023-08-26,A002,Alice Johnson,A002,ABC Inc,1719.17
2023-08-10,A005,Jane Smith,A002,XYZ Corp,2266.95
2023-07-15,A002,Alice Johnson,A002,Tech Solutions,5861.72
2023-11-21,A003,Jane Smith,A004,123 Services,225.41
2023-03-31,A005,Alice Johnson,A004,Tech Solutions,9432.44
2023-10-11,A004,Alice Johnson,A003,Global Traders,169.77
2023-12-01,A001,Alice Johnson,A002,Tech Solutions,2433.18
2023-03-23,A005,Jane Smith,A004,ABC Inc,4539.1
2023-02-04,A002,Charlie Davis,A001,ABC Inc,850.36
2023-05-27,A001,Bob Brown,A001,Global Traders,5231.12
2023-12-14,A002,John Doe,A005,XYZ Corp,6623.18
2023-02-01,A005,Bob Brown,A001,Global Traders,1750.48
2023-02-09,A001,Jane Smith,A003,XYZ Corp,5659.14
2023-07-27,A002,John Doe,A004,Tech Solutions,8207.88
2023-03-07,A004,Bob Brown,A003,ABC Inc,1822.44
2023-08-01,A005,Alice Johnson,A002,Tech Solutions,473.1
2023-09-14,A001,Bob Brown,A002,XYZ Corp,826.33
2023-10-03,A005,Jane Smith,A003,XYZ Corp,9838.5
2023-09-13,A005,Charlie Davis,A004,Global Traders,3749.52
2023-08-13,A005,Jane Smith,A001,ABC Inc,4194.45
2023-12-03,A003,Bob Brown,A004,Global Traders,5502.81
2023-12-10,A003,Jane Smith,A003,ABC Inc,9623.72
2023-09-20,A005,John Doe,A001,Tech Solutions,7659.5
2023-05-20,A004,Jane Smith,A004,Tech Solutions,2121.29
2023-07-18,A003,Bob Brown,A002,Global Traders,1458.32
2023-08-13,A005,John Doe,A005,XYZ Corp,2379.84
2023-12-11,A005,Charlie Davis,A002,XYZ Corp,368.34
2023-09-06,A005,Alice Johnson,A005,Tech Solutions,6028.26
2023-03-15,A003,John Doe,A004,XYZ Corp,663.59
2023-08-26,A005,Alice Johnson,A003,Tech Solutions,597.71
2023-04-25,A001,Charlie Davis,A004,XYZ Corp,5959.2
2023-05-29,A002,Charlie Davis,A001,ABC Inc,9818.58
2023-10-03,A001,Charlie Davis,A005,123 Services,7907.65
2023-02-11,A001,Charlie Davis,A004,123 Services,2056.1
2023-06-15,A001,Jane Smith,A003,ABC Inc,6492.26
2023-03-30,A003,Jane Smith,A001,ABC Inc,1036.82
2023-05-07,A002,Charlie Davis,A003,XYZ Corp,5273.53
2023-06-05,A004,Alice Johnson,A002,Tech Solutions,2061.55
2023-05-06,A004,John Doe,A003,XYZ Corp,8442.14
2023-06-30,A003,Bob Brown,A004,Tech Solutions,5123.52
2023-09-21,A004,Bob Brown,A002,ABC Inc,1233.18
2023-01-03,A004,Charlie Davis,A001,123 Services,8018.33
2023-01-19,A003,Alice Johnson,A004,Tech Solutions,3783.52
2023-05-22,A004,Charlie Davis,A005,ABC Inc,4537.9
2023-04-26,A005,Bob Brown,A005,Global Traders,6548.28
2023-08-05,A003,Jane Smith,A005,ABC Inc,595.95
2023-09-01,A001,John Doe,A005,123 Services,4246.96
2023-02-15,A003,Alice Johnson,A003,123 Services,995.78
2023-07-22,A003,Bob Brown,A003,ABC Inc,7266.23
2023-06-25,A002,Bob Brown,A002,123 Services,461.37
2023-01-30,A002,Bob Brown,A004,123 Services,2955.01
2023-09-20,A005,Jane Smith,A001,XYZ Corp,9277.43
2023-02-06,A001,Charlie Davis,A001,123 Services,477.32
2023-08-15,A001,Jane Smith,A001,123 Services,3319.78
2023-11-20,A003,Bob Brown,A005,ABC Inc,1163.18
2023-02-05,A004,John Doe,A001,ABC Inc,3341.91
2023-10-30,A004,John Doe,A004,ABC Inc,5578.15
2023-02-25,A002,Alice Johnson,A001,XYZ Corp,3911.84
2023-07-14,A003,Bob Brown,A003,Tech Solutions,9079.48
2023-09-28,A002,Alice Johnson,A001,Global Traders,9272.27
2023-01-24,A005,Jane Smith,A003,ABC Inc,5354.89
2023-10-01,A005,Alice Johnson,A005,Tech Solutions,6951.05
2023-05-30,A005,Alice Johnson,A001,Global Traders,4984.15
2023-10-26,A001,Alice Johnson,A003,XYZ Corp,7062.35
2023-09-19,A003,Bob Brown,A001,123 Services,7243.19
2023-04-02,A005,Jane Smith,A002,ABC Inc,3874.77
2023-12-15,A002,John Doe,A005,ABC Inc,7759.81
2023-05-22,A002,Jane Smith,A002,ABC Inc,5165.18
2023-02-22,A004,Bob Brown,A001,ABC Inc,9617.28
2023-06-07,A003,Bob Brown,A005,XYZ Corp,3845.66
2023-07-05,A005,Jane Smith,A005,ABC Inc,3604.54
2023-06-02,A005,Charlie Davis,A004,XYZ Corp,1421.9
2023-04-08,A005,Jane Smith,A002,XYZ Corp,2311.84
2023-12-19,A001,Alice Johnson,A004,XYZ Corp,6511.42
2023-07-31,A005,Jane Smith,A003,Tech Solutions,5537.49
2023-02-14,A003,Alice Johnson,A003,ABC Inc,3645.5
2023-01-26,A004,Alice Johnson,A005,Global Traders,1313.02
2023-12-17,A005,John Doe,A002,XYZ Corp,3075.86
2023-08-09,A004,Charlie Davis,A003,123 Services,3148.37
2023-05-13,A002,Alice Johnson,A002,Tech Solutions,2860.84
2023-11-28,A002,Alice Johnson,A004,Tech Solutions,2490.47
2023-11-19,A003,John Doe,A003,XYZ Corp,202.46
2023-11-25,A001,Jane Smith,A002,123 Services,8004.68
2023-07-19,A002,Jane Smith,A004,Global Traders,672.18
2023-02-17,A001,Bob Brown,A001,XYZ Corp,4225.75
2023-01-06,A002,Charlie Davis,A005,ABC Inc,6269.69
2023-08-12,A005,Charlie Davis,A005,123 Services,4771.88
2023-10-08,A001,Bob Brown,A001,Global Traders,5934.52
2023-06-18,A001,John Doe,A003,ABC Inc,4611.2
2023-02-14,A004,Jane Smith,A001,ABC Inc,4190.16
2023-07-23,A001,John Doe,A001,Tech Solutions,9371.58
2023-01-02,A002,Jane Smith,A002,ABC Inc,9990.64
2023-04-04,A005,Bob Brown,A004,Global Traders,1728.75
2023-11-27,A001,Jane Smith,A003,ABC Inc,2554.49
2023-12-19,A001,Alice Johnson,A001,Tech Solutions,1076.1
2023-08-24,A005,Charlie Davis,A001,XYZ Corp,888.24
2023-03-04,A003,Charlie Davis,A005,ABC Inc,167.22
2023-08-23,A001,Alice Johnson,A001,Tech Solutions,2868.32
2023-01-14,A004,Jane Smith,A002,ABC Inc,4644.07
2023-12-02,A004,Jane Smith,A005,Global Traders,4853.59
2023-04-25,A004,Alice Johnson,A003,Global Traders,6699.14
2023-05-17,A005,Jane Smith,A002,123 Services,862.36
2023-09-26,A001,Charlie Davis,A005,123 Services,1045.66
2023-08-24,A004,Bob Brown,A001,Tech Solutions,568.84
2023-10-07,A003,Jane Smith,A003,ABC Inc,3785.57
2023-05-29,A001,Charlie Davis,A004,123 Services,3208.91
2023-12-14,A003,Jane Smith,A005,123 Services,8026.61
2023-07-25,A004,Alice Johnson,A002,ABC Inc,6768.34
2023-09-22,A001,Alice Johnson,A005,Tech Solutions,8160.27
2023-07-03,A002,Jane Smith,A004,Tech Solutions,7982.64
2023-11-23,A002,Bob Brown,A004,123 Services,9698.06
2023-07-23,A002,Jane Smith,A001,XYZ Corp,805.1
2023-07-24,A004,Bob Brown,A001,Global Traders,338.5
2023-02-04,A002,John Doe,A001,Global Traders,3201.18
2023-10-14,A002,Jane Smith,A003,XYZ Corp,8020.4
2023-12-28,A003,Charlie Davis,A003,Tech Solutions,3583.77
2023-10-23,A005,Alice Johnson,A003,123 Services,5358.31
2023-06-10,A001,Jane Smith,A003,ABC Inc,3754.85
2023-07-24,A005,Alice Johnson,A004,XYZ Corp,6216.7
2023-06-13,A004,Charlie Davis,A002,123 Services,1195.9
2023-06-17,A005,Alice Johnson,A005,ABC Inc,8249.73
2023-08-10,A004,Bob Brown,A004,Tech Solutions,731.03
2023-06-01,A002,John Doe,A002,123 Services,7494.15
2023-06-21,A004,Charlie Davis,A003,Tech Solutions,1100.4
2023-09-12,A001,John Doe,A005,Tech Solutions,593.04
2023-11-09,A001,Alice Johnson,A005,XYZ Corp,3686.67
2023-08-24,A004,Alice Johnson,A005,123 Services,9234.61
2023-10-26,A001,Alice Johnson,A004,ABC Inc,3506.88
2023-09-08,A005,Charlie Davis,A002,XYZ Corp,8710.13
2023-02-02,A005,Jane Smith,A004,ABC Inc,9713.44
2023-04-21,A004,Alice Johnson,A004,Tech Solutions,7421.79
2023-10-24,A003,Charlie Davis,A002,123 Services,847.78
2023-03-31,A003,Bob Brown,A004,Global Traders,8977.35
2023-01-12,A001,Bob Brown,A003,123 Services,9094.77
2023-08-02,A003,Bob Brown,A005,ABC Inc,4093.92
2023-07-31,A003,Alice Johnson,A003,XYZ Corp,1366.15
2023-04-08,A002,Bob Brown,A003,123 Services,5913.29
2023-08-19,A005,Bob Brown,A003,Tech Solutions,9392.11
2023-06-13,A004,Charlie Davis,A005,123 Services,8427.84
2023-01-09,A003,Charlie Davis,A004,Global Traders,562.18
2023-01-21,A001,Alice Johnson,A004,Global Traders,2144.08
2023-04-18,A004,Alice Johnson,A002,Tech Solutions,3109.26
2023-04-08,A005,John Doe,A003,XYZ Corp,5911.73
2023-02-12,A003,Charlie Davis,A003,Tech Solutions,7688.66
2023-09-21,A004,Bob Brown,A004,Tech Solutions,6335.43
2023-10-19,A001,Jane Smith,A004,XYZ Corp,1094.11
2023-09-23,A001,Charlie Davis,A003,123 Services,4977.07
2023-12-13,A004,John Doe,A002,123 Services,3873.17
2023-03-22,A005,Charlie Davis,A005,123 Services,696.39
2023-01-22,A001,Jane Smith,A004,ABC Inc,584.53
2023-06-03,A005,Alice Johnson,A001,XYZ Corp,1703.73
