Amount in Euro,Date,From Account,From Label,From Sender,To Account,To Label,To Recipient
8120.75,"Tue, 27 Jun 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
7026.53,"Sat, 15 Jul 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
5731.33,"Thu, 26 Oct 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,ABC Inc (A002),ABC Inc
8662.32,"Sun, 14 May 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
8852.78,"Wed, 08 Nov 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
5825.81,"Mon, 13 Nov 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
8581.27,"Sun, 10 Sep 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,123 Services (A002),123 Services
8166.74,"Sat, 04 Nov 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
7397.59,"Fri, 22 Dec 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Global Traders (A002),Global Traders
6642.73,"Fri, 18 Aug 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
9130.13,"Tue, 21 Feb 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Tech Solutions (A002),Tech Solutions
7199.51,"Sat, 22 Apr 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
8859.64,"Wed, 21 Jun 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,XYZ Corp (A002),XYZ Corp
9078.7,"Sat, 26 Aug 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Global Traders (A002),Global Traders
5803.87,"Mon, 12 Jun 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,XYZ Corp (A002),XYZ Corp
5055.64,"Tue, 10 Jan 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
8804.65,"Mon, 31 Jul 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
8468.61,"Wed, 01 Nov 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
7255.48,"Thu, 12 Jan 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,XYZ Corp (A002),XYZ Corp
9495.86,"Thu, 31 Aug 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
9695.91,"Tue, 31 Jan 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
9478.51,"Mon, 01 May 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
8395.55,"Tue, 07 Feb 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
9951.97,"Sun, 24 Sep 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
9697.01,"Sun, 12 Mar 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
5198.97,"Mon, 17 Apr 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
7143.64,"Sun, 23 Jul 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,XYZ Corp (A002),XYZ Corp
8162.99,"Sun, 19 Feb 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Global Traders (A002),Global Traders
5202.98,"Mon, 02 Oct 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
7788.88,"Tue, 02 May 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,XYZ Corp (A002),XYZ Corp
7409.88,"Sat, 18 Mar 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
6293.22,"Mon, 10 Jul 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,XYZ Corp (A002),XYZ Corp
8386.07,"Fri, 30 Jun 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
8477.99,"Mon, 04 Sep 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
5742.43,"Thu, 18 May 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,XYZ Corp (A002),XYZ Corp
8120.02,"Tue, 29 Aug 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
5732.4,"Sat, 28 Jan 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Global Traders (A002),Global Traders
6346.7,"Tue, 28 Nov 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
7497.75,"Tue, 25 Jul 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,123 Services (A002),123 Services
9951.24,"Sun, 19 Nov 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,123 Services (A002),123 Services
5345.29,"Wed, 12 Apr 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,123 Services (A002),123 Services
7915.04,"Thu, 02 Nov 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
5126.2,"Thu, 02 Mar 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,ABC Inc (A002),ABC Inc
9399.53,"Mon, 13 Mar 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Global Traders (A002),Global Traders
9498.67,"Mon, 20 Mar 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
6286.0,"Tue, 20 Jun 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Tech Solutions (A002),Tech Solutions
9045.38,"Sun, 10 Sep 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
6644.33,"Thu, 13 Jul 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
8967.04,"Mon, 02 Oct 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
6318.97,"Fri, 03 Mar 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Tech Solutions (A002),Tech Solutions
6099.4,"Tue, 23 May 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Tech Solutions (A002),Tech Solutions
7289.92,"Fri, 21 Jul 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,ABC Inc (A002),ABC Inc
8790.17,"Sat, 18 Feb 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Global Traders (A002),Global Traders
8782.82,"Mon, 09 Oct 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
5544.81,"Sun, 20 Aug 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,123 Services (A002),123 Services
5278.19,"Mon, 26 Jun 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,XYZ Corp (A002),XYZ Corp
8396.22,"Tue, 18 Apr 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
7946.5,"Thu, 23 Mar 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
5021.79,"Thu, 23 Feb 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,ABC Inc (A002),ABC Inc
6946.63,"Tue, 07 Feb 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
6526.54,"Tue, 11 Apr 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Global Traders (A002),Global Traders
6821.44,"Wed, 16 Aug 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Global Traders (A002),Global Traders
8241.31,"Sat, 05 Aug 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Global Traders (A002),Global Traders
8527.29,"Wed, 08 Feb 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
9983.51,"Thu, 09 Nov 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
7101.72,"Wed, 08 Nov 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,123 Services (A002),123 Services
7070.55,"Wed, 15 Feb 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
9300.98,"Tue, 16 May 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
9008.73,"Mon, 23 Jan 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,XYZ Corp (A002),XYZ Corp
9924.95,"Sun, 17 Dec 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Tech Solutions (A002),Tech Solutions
5813.84,"Wed, 25 Oct 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
6044.64,"Sat, 21 Jan 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Tech Solutions (A002),Tech Solutions
5582.94,"Sun, 16 Apr 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,123 Services (A002),123 Services
5437.36,"Sat, 07 Jan 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,XYZ Corp (A002),XYZ Corp
6016.36,"Tue, 25 Jul 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
7117.07,"Mon, 12 Jun 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,ABC Inc (A002),ABC Inc
5318.36,"Sun, 19 Feb 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,ABC Inc (A002),ABC Inc
8273.31,"Sat, 15 Jul 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
7156.19,"Fri, 22 Sep 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
6805.55,"Mon, 18 Sep 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
6018.17,"Sun, 07 May 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
8916.94,"Wed, 08 Nov 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Global Traders (A002),Global Traders
5144.97,"Mon, 24 Apr 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
5684.52,"Sat, 24 Jun 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,ABC Inc (A002),ABC Inc
7781.24,"Mon, 28 Aug 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,Tech Solutions (A002),Tech Solutions
9630.87,"Tue, 07 Feb 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Tech Solutions (A002),Tech Solutions
7132.9,"Tue, 21 Mar 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
6703.98,"Fri, 31 Mar 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
5398.94,"Tue, 07 Mar 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
8422.77,"Fri, 21 Jul 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
6511.09,"Wed, 17 May 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
6311.43,"Sat, 21 Oct 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
8638.73,"Sun, 19 Nov 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,ABC Inc (A002),ABC Inc
9683.35,"Sat, 12 Aug 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
7476.41,"Thu, 18 May 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
7235.34,"Fri, 07 Apr 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Global Traders (A002),Global Traders
6548.18,"Wed, 05 Apr 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
9890.53,"Wed, 19 Jul 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,XYZ Corp (A002),XYZ Corp
6639.63,"Mon, 25 Sep 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
8010.07,"Thu, 08 Jun 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,Global Traders (A002),Global Traders
6232.45,"Sat, 25 Feb 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
7526.29,"Fri, 10 Nov 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,ABC Inc (A002),ABC Inc
5404.91,"Tue, 12 Sep 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
8091.8,"Thu, 01 Jun 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,123 Services (A002),123 Services
5048.89,"Wed, 26 Jul 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,123 Services (A002),123 Services
9633.46,"Sat, 08 Apr 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,Tech Solutions (A002),Tech Solutions
9231.46,"Thu, 30 Mar 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
5657.12,"Tue, 03 Oct 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,XYZ Corp (A002),XYZ Corp
7210.57,"Wed, 29 Mar 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Tech Solutions (A002),Tech Solutions
5746.53,"Wed, 15 Mar 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
9818.32,"Mon, 10 Jul 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,ABC Inc (A002),ABC Inc
6669.1,"Fri, 05 May 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,ABC Inc (A002),ABC Inc
7439.81,"Thu, 23 Mar 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
6540.76,"Wed, 06 Sep 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,XYZ Corp (A002),XYZ Corp
7756.5,"Mon, 29 May 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,ABC Inc (A002),ABC Inc
8968.68,"Fri, 21 Apr 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Global Traders (A002),Global Traders
8547.23,"Tue, 05 Dec 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,XYZ Corp (A002),XYZ Corp
7375.11,"Fri, 16 Jun 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,XYZ Corp (A002),XYZ Corp
6964.44,"Thu, 05 Jan 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Global Traders (A002),Global Traders
8600.9,"Thu, 31 Aug 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
5188.06,"Mon, 25 Dec 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
6074.49,"Mon, 09 Jan 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
5796.55,"Fri, 08 Dec 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,XYZ Corp (A002),XYZ Corp
7906.78,"Sat, 07 Jan 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Tech Solutions (A002),Tech Solutions
9411.23,"Mon, 03 Apr 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,ABC Inc (A002),ABC Inc
5272.14,"Thu, 02 Mar 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,ABC Inc (A002),ABC Inc
5101.4,"Sat, 18 Feb 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
7699.19,"Sun, 17 Sep 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
7397.86,"Sun, 16 Apr 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,Tech Solutions (A002),Tech Solutions
8968.44,"Wed, 11 Jan 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Tech Solutions (A002),Tech Solutions
7014.83,"Thu, 18 May 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,123 Services (A002),123 Services
5379.39,"Thu, 07 Sep 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,XYZ Corp (A002),XYZ Corp
6615.16,"Wed, 13 Sep 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,XYZ Corp (A002),XYZ Corp
8467.31,"Fri, 05 May 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
7077.33,"Wed, 15 Feb 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,Global Traders (A002),Global Traders
8632.1,"Fri, 27 Oct 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Global Traders (A002),Global Traders
8330.07,"Tue, 28 Mar 2023 00:00:00 GMT",A002,Alice Johnson (A002),Alice Johnson,A002,123 Services (A002),123 Services
7377.15,"Sun, 23 Jul 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,123 Services (A002),123 Services
8773.79,"Tue, 19 Dec 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
9879.41,"Fri, 14 Jul 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,XYZ Corp (A002),XYZ Corp
9262.71,"Fri, 08 Dec 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,123 Services (A002),123 Services
9730.73,"Sat, 24 Jun 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
6599.58,"Sun, 04 Jun 2023 00:00:00 GMT",A002,John Doe (A002),John Doe,A002,Tech Solutions (A002),Tech Solutions
8379.45,"Wed, 28 Jun 2023 00:00:00 GMT",A002,Bob Brown (A002),Bob Brown,A002,Global Traders (A002),Global Traders
7898.72,"Mon, 09 Oct 2023 00:00:00 GMT",A002,Charlie Davis (A002),Charlie Davis,A002,Tech Solutions (A002),Tech Solutions
8782.1,"Tue, 10 Oct 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
5968.58,"Mon, 16 Oct 2023 00:00:00 GMT",A002,Jane Smith (A002),Jane Smith,A002,ABC Inc (A002),ABC Inc
